page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,user_action,opinion_file
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"Simpson v. Voiture Nationale La Societe des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.)",Simpson v. Voiture Nationale La Societe Des Quarante Hommes (2021-06-25) - Ready,"(1) Supports: ""Ohio law does not recognize a civil action for extortion."" (Simpson citing Angelini and Heskett; trial court dismissal affirmed)","Green - Case directly supports the proposition. Simpson affirmed dismissal of civil extortion claims, citing this exact principle.",https://www.courtlistener.com/opinion/4894979/simpson-v-voiture-nationale-la-societe-des-quarante-hommes/,VERIFIED,,,briefs/kettering-v-collier/opinions/simpson-v-voiture-nationale-la-societe-des-quarante-hommes-e.txt
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.)",First Fed. Bank of Ohio v. Angelini (2012-05-14) - Ready,"(1) Supports: ""Simply put, Ohio law does not recognize a civil action for extortion. Thus, the counterclaim was based upon a legal nullity."" (para 14)",Green - Case directly and explicitly supports the proposition at the cited paragraph.,https://www.courtlistener.com/opinion/2696528/first-fed-bank-of-ohio-v-angelini/,VERIFIED,,,briefs/kettering-v-collier/opinions/first-fed-bank-of-ohio-v-angelini.txt
3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,"Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.)","Heskett v. Van Horn Title Agency, Unpublished Decision (12-26-2006) (2006-12-26) - Ready","(1) Partially supports: ""Neither are we aware of 'coercion' as a cognizable civil cause of action. Cf. R.C. 2905.12 (defining the crime of 'coercion,' a misdemeanor of the second degree)."" (para 26)","Yellow - The case addresses coercion (R.C. 2905.12), not extortion (R.C. 2905.11). The brief cites it for extortion, but the holding is about coercion specifically. Related but not identical.",https://www.courtlistener.com/opinion/3941929/heskett-v-van-horn-title-agency-unpublished-decision-12-26-2006/,VERIFIED,,,briefs/kettering-v-collier/opinions/heskett-v-van-horn-title-agency.txt
3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal (2009-05-18) - Ready,"(1) Supports: ""To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to 'state a claim to relief that is plausible on its face.'"" (quoting Twombly, 550 U.S. at 570)",Green - Exact language appears in the opinion at the cited page.,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,,briefs/kettering-v-collier/opinions/ashcroft-v-iqbal.txt
3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,"Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007)",Bell Atlantic Corp. v. Twombly (2007-05-21) - Ready,"(1) Supports: ""[W]e do not require heightened fact pleading of specifics, but only enough facts to state a claim to relief that is plausible on its face."" (at 570)",Green - Exact language appears in the opinion at the cited page.,https://www.courtlistener.com/opinion/145730/bell-atlantic-corp-v-twombly/,VERIFIED,,,briefs/kettering-v-collier/opinions/bell-atl-corp-v-twombly.txt
3,Courts disregard legal conclusions couched as factual allegations.,"Ashcroft v. Iqbal, 556 U.S. at 678 (2009)",Ashcroft v. Iqbal (2009-05-18) - Ready,"(1) Supports: ""Threadbare recitals of the elements of a cause of action, supported by mere conclusory statements, do not suffice."" (2) Supports: ""'[L]abels and conclusions' or 'a formulaic recitation of the elements of a cause of action will not do.'"" (quoting Twombly)",Green - The proposition is a standard paraphrase of Iqbal's holding. The opinion supports this at the cited page.,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,,briefs/kettering-v-collier/opinions/ashcroft-v-iqbal.txt
3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,"Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993)",Hecht v. Levin (1993-06-23) - Ready,"(1) Supports: ""A statement made in the course of an attorney disciplinary proceeding enjoys an absolute privilege against a civil action based thereon as long as the statement bears some reasonable relation to the proceeding.""",Green - Case directly supports the proposition of absolute privilege for statements in judicial proceedings.,https://www.courtlistener.com/opinion/10680926/hecht-v-levin/,VERIFIED,,,briefs/kettering-v-collier/opinions/hecht-v-levin.txt
3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,"Surace v. Willer, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986)",Surace v. Wuliger (1986-08-06) - Ready,(1) Supports: Opinion discusses the absolute privilege doctrine for statements in judicial proceedings and its public policy rationale. Court analyzes relevance/pertinence test for privilege.,Green - Case directly supports the absolute privilege doctrine for communications in judicial proceedings.,https://www.courtlistener.com/opinion/6868174/surace-v-wuliger/,VERIFIED,,,briefs/kettering-v-collier/opinions/surace-v-willer.txt
4,A claim of civil extortion requires proof of a wrongful threat -- an unlawful threat unrelated to any valid legal claim. Threat to file false criminal charges constituted extortion.,"State v. Carter, 72 Ohio App.3d 553 (2d Dist. 1991)","Stull v. Combustion Engineering, Inc. (1991-02-19) - Check Name",Case not retrieved -- cannot verify. Citation 72 Ohio App.3d 553 belongs to a different case (Stull v. Combustion Engineering) in CourtListener.,Red - The reporter citation appears to be incorrect. The reporter location 72 Ohio App.3d 553 belongs to a different case.,https://www.courtlistener.com/opinion/3935804/stull-v-combustion-engineering-inc/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""Stull v. Combustion Engineering, Inc.""",skip,
4,Intent element of extortion is satisfied only where threats are unrelated to lawful rights.,"State v. Milam, 2022-Ohio-3965 (10th Dist.)",State v. Eddy (2022-11-07) - Check Name,"Case not retrieved -- cannot verify. Citation 2022-Ohio-3965 belongs to State v. Eddy in CourtListener, not State v. Milam.",Red - The Ohio citation number appears to be incorrect. 2022-Ohio-3965 belongs to a different case.,https://www.courtlistener.com/opinion/8509675/state-v-eddy/,POSSIBLE_MATCH,"Name mismatch: citation exists at this reporter location but belongs to ""State v. Eddy""",skip,
4,No Legitimate Claim or Privilege -- demands made without a good-faith basis are unprotected.,"Kenty v. Transamerica Premium Ins. Co., 72 Ohio St.3d 415, 419 (1995)",Kenty v. Transamerica Premium Ins. Co. (1995-07-05) - Ready,"(1) Addresses different issue: The Kenty case involves insurance disputes -- whether an insurer (Transamerica) conspired to overcharge a customer for collateral protection insurance. The case discusses ""good faith"" in the context of the insurer's duty of good faith and fair dealing, not in the context of demand letters, extortion, or litigation privilege.","Red - The citation does not support the proposition. Kenty is an insurance case about civil conspiracy and breach of good faith in insurance contracts. It does not address extortion demands, settlement privilege, or the concept that demands without a good-faith basis are unprotected in the extortion context.",https://www.courtlistener.com/opinion/10683282/kenty-v-transamerica-premium-ins-co/,VERIFIED,,,briefs/kettering-v-collier/opinions/kenty-v-transamerica-premium-ins-co.txt
4,"Mere ""hard bargaining,"" even when the consequences are severe, is not extortion where claims are legitimate and conduct threatened is lawful.","United States v. Pendergraft, 297 F.3d 1198, 1205 (11th Cir. 2002)",United States v. James Scott Pendergraft (2002-07-16) - Ready,"(1) Supports: Court reversed Hobbs Act extortion conviction, holding that ""their threat was neither 'wrongful' within the meaning of the Hobbs Act nor a 'scheme to defraud' within the meaning of the mail-fraud statute."" (2) Supports: Court held that a threat to file a lawsuit, even if made in bad faith, is not ""wrongful"" under the Hobbs Act. Several courts cited for this proposition.","Green - The case reversed extortion convictions for threats to file a lawsuit, directly supporting the proposition that legitimate demands and hard bargaining don't constitute extortion.",https://www.courtlistener.com/opinion/75917/united-states-v-james-scott-pendergraft/,VERIFIED,,,briefs/kettering-v-collier/opinions/united-states-v-pendergraft.txt
5,"""Informing a party that you will report their misconduct to appropriate authorities if corrective action is not taken does not constitute an unlawful threat.""","United States v. Jackson, 180 F.3d 55, 70 (2d Cir. 1999)","United States v. Autumn Jackson, Boris Sabas, Also Known as Boris Shmulevich, and Jose Medina, Also Known as Yosi Medina (1999-06-09) - Ready","(1) Addresses different issue: The Jackson case involves criminal extortion prosecution of Autumn Jackson for threatening to disclose Bill Cosby's paternity and demanding payment. The court upheld the extortion conviction. The specific quoted language (""Informing a party that you will report their misconduct to appropriate authorities... does not constitute an unlawful threat"") was not found in the opinion text.",Red - The quoted language does not appear in the opinion. The Jackson case found that the defendants' conduct WAS extortion. The case does not support the proposition that reporting misconduct to authorities is not an unlawful threat -- it addresses a different type of threat (exposure of personal information for payment).,https://www.courtlistener.com/opinion/764769/united-states-v-autumn-jackson-boris-sabas-also-known-as-boris/,VERIFIED,,,briefs/kettering-v-collier/opinions/united-states-v-jackson.txt
5,"""Seeking a monetary settlement tied directly to legal claims does not become extortion merely because regulatory reporting is also contemplated.""","Flatley v. Mauro, 39 Cal.4th 299, 331 (2006)",Flatley v. Mauro (2006-07-27) - Ready,"(1) Contradicts: The California Supreme Court held that attorney Mauro's demand letter constituted criminal extortion as a matter of law. The court found that ""extortionate speech is not constitutionally protected"" and Mauro's anti-SLAPP motion was properly denied. The specific quoted language about settlement demands and regulatory reporting does not appear in the opinion.",Red - The quoted proposition does not appear in the opinion. The Flatley court's actual holding is that the attorney's demand letter -- which included threats of regulatory reporting and media exposure -- DID constitute extortion as a matter of law. The brief's citation misrepresents the case holding.,https://www.courtlistener.com/opinion/2600567/flatley-v-mauro/,VERIFIED,,,briefs/kettering-v-collier/opinions/flatley-v-mauro.txt
6,"""Where claims are based on enforceable legal rights, settlement demands are privileged.""","Kenty v. Transamerica Premium Ins. Co., 72 Ohio St.3d at 419 (1995)",Kenty v. Transamerica Premium Ins. Co. (1995-07-05) - Ready,"(1) Addresses different issue: Same as above -- Kenty is an insurance case about collateral protection insurance overcharges and civil conspiracy. No discussion of settlement demands, litigation privilege, or enforceable legal rights in the extortion/demand context.",Red - The citation does not support the proposition. Kenty does not address whether settlement demands based on enforceable legal rights are privileged.,https://www.courtlistener.com/opinion/10683282/kenty-v-transamerica-premium-ins-co/,VERIFIED,,,briefs/kettering-v-collier/opinions/kenty-v-transamerica-premium-ins-co.txt
6,"""Advising of possible consequences from lawful reporting cannot form the basis of an extortion claim.""","United States v. Pendergraft, 297 F.3d at 1205 (11th Cir. 2002)",United States v. James Scott Pendergraft (2002-07-16) - Ready,"(1) Supports: Court reversed extortion conviction where defendants threatened to file a lawsuit and use evidence in support. Held the threat was not ""wrongful"" under the Hobbs Act. The general principle that lawful threats (including advising of legal consequences) cannot support extortion charges is supported by the holding.","Green - The case's reversal of extortion convictions for threats to pursue legal action supports this proposition, even though the exact quoted language may be a paraphrase rather than a direct quote.",https://www.courtlistener.com/opinion/75917/united-states-v-james-scott-pendergraft/,VERIFIED,,,briefs/kettering-v-collier/opinions/united-states-v-pendergraft.txt
7,Ohio's public policy protections support whistleblower reporting activity.,"Kulch v. Structural Fibers, Inc., 78 Ohio St.3d 134, 150 (1997)","Kulch v. Structural Fibers, Inc. (1997-04-16) - Ready","(1) Supports: The Ohio Supreme Court held that an employee ""who is discharged or disciplined for filing a complaint with the Occupational Safety and Health Administration concerning matters of health and safety in the workplace is entitled to maintain a common-law tort action against the employer for wrongful discharge in violation of public policy.""",Green - Case directly supports Ohio's recognition of public policy protections for whistleblower/reporting activity.,https://www.courtlistener.com/opinion/10683856/kulch-v-structural-fibers-inc/,VERIFIED,,,briefs/kettering-v-collier/opinions/kulch-v-structural-fibers.txt
7,Truthful disclosure of misconduct does not constitute extortion.,"Flatley v. Mauro, 39 Cal.4th at 330 (2006)",Flatley v. Mauro (2006-07-27) - Ready,(1) Contradicts: The Flatley court held that the attorney's communications -- including threats to report to authorities and media -- constituted criminal extortion as a matter of law. The opinion does not hold that truthful disclosure of misconduct is protected from extortion claims.,Red - The case does not support this proposition. Flatley held that the conduct at issue (which included threats of disclosure) WAS criminal extortion.,https://www.courtlistener.com/opinion/2600567/flatley-v-mauro/,VERIFIED,,,briefs/kettering-v-collier/opinions/flatley-v-mauro.txt
7,Truthful disclosure of misconduct does not constitute extortion.,"United States v. Jackson, 180 F.3d at 70 (2d Cir. 1999)","United States v. Autumn Jackson, Boris Sabas, Also Known as Boris Shmulevich, and Jose Medina, Also Known as Yosi Medina (1999-06-09) - Ready",(1) Addresses different issue: The Jackson case upheld criminal extortion convictions for threats to expose personal information. The case does not address truthful disclosure of misconduct or establish that such disclosure is protected from extortion claims.,"Red - The citation does not support the proposition. The Jackson court upheld extortion convictions, not the right to disclose misconduct.",https://www.courtlistener.com/opinion/764769/united-states-v-autumn-jackson-boris-sabas-also-known-as-boris/,VERIFIED,,,briefs/kettering-v-collier/opinions/united-states-v-jackson.txt
8,Broad categories of information do not satisfy the particularity requirement for trade secret claims.,"Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d 912, 919-23 (N.D. Ohio 2011)","Office Depot, Inc. v. Impact Office Products, LLC (2011-09-26) - Ready","(1) Supports: The court addresses trade secret identification requirements under OUTSA. Discusses the ""same operative facts"" test and the scope of OUTSA preemption at pages 919-923.",Green - Case directly addresses the particularity requirement for trade secret claims and OUTSA preemption at the cited pages.,https://www.courtlistener.com/opinion/8710614/office-depot-inc-v-impact-office-products-llc/,VERIFIED,,,briefs/kettering-v-collier/opinions/office-depot.txt
8,The Complaint fails to plead reasonable measures to maintain secrecy.,"In re Protech Indus., 51 F.4th 714, 720-22 (6th Cir. 2022)",Not Found,"Case not retrieved -- cannot verify. The citation In re Protech Indus., 51 F.4th 714 (6th Cir. 2022) could not be located in CourtListener.",Red - Case could not be found in CourtListener. Cannot verify the proposition.,,NOT_FOUND,No matching cases found in CourtListener opinions or RECAP,skip,
8,The Ohio Uniform Trade Secrets Act displaces overlapping torts based on the same nucleus of facts.,"Stolle Mach. Co. v. RAM Precision Indus., 605 F. App'x 473, 484 (6th Cir. 2015)","Stolle Machinery Company, LLC v. Ram Precision Industries (2015-03-16) - Ready","(1) Supports: ""The OUTSA incorporates the Uniform Trade Secrets Act's displacement of 'conflicting tort, restitutionary, and other laws of this state providing civil remedies for misappropriation.'"" Discusses the scope of OUTSA preemption, citing Office Depot and other cases.",Green - Case directly supports the proposition that OUTSA displaces overlapping tort claims based on the same facts.,https://www.courtlistener.com/opinion/2786363/stolle-machinery-company-llc-v-ram-precision-industries/,VERIFIED,,,briefs/kettering-v-collier/opinions/stolle-mach-co-v-ram-precision-indus.txt
8-9,"""Exceeds authorized access"" is construed narrowly to cover obtaining information from areas to which a person lacks access privileges, not misuse of information obtained with authorized credentials.","Van Buren v. United States, 593 U.S. 374, 380-86 (2021)",Van Buren v. United States (2021-06-03) - Ready,"(1) Supports: ""An individual 'exceeds authorized access' when he accesses a computer with authorization but then obtains information located in particular areas of the computer -- such as files, folders, or databases -- that are off limits to him."" The Court construed the CFAA narrowly, rejecting the government's broader interpretation.",Green - Case directly and exactly supports the proposition. This is the central holding of Van Buren at the cited pages.,https://www.courtlistener.com/opinion/4888668/van-buren-v-united-states/,VERIFIED,,,briefs/kettering-v-collier/opinions/van-buren-v-united-states.txt
9,The Sixth Circuit applies the same narrow Van Buren rule to CFAA claims.,"Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020)",Royal Truck & Trailer Sales v. Mike Kraft (2020-09-09) - Ready,"(1) Supports: The Sixth Circuit analyzes ""exceeds authorized access"" using definitional provisions of the CFAA and concludes it targets those who gain unauthorized access, not those who misuse authorized access. Consistent with Van Buren's narrow construction.","Green - Case applies the same narrow CFAA interpretation. Note: Royal Truck (2020) preceded Van Buren (2021), so the Sixth Circuit independently reached the same conclusion rather than 'applying' Van Buren.",https://www.courtlistener.com/opinion/4783709/royal-truck-trailer-sales-v-mike-kraft/,VERIFIED,,,briefs/kettering-v-collier/opinions/royal-truck-trailer-sales-serv.txt
9,HIPAA does not create a private right of action.,"Wilson v. Collins, 517 F.3d 421, 429 (6th Cir. 2008)",Wilson v. Collins (2008-02-22) - Ready,"(1) Addresses different issue: Wilson v. Collins does not mention HIPAA anywhere in the opinion. The case addresses whether Title VI regulations can be enforced through 42 U.S.C. section 1983. The ""no private right of action"" discussion at page 429 concerns Title VI section 602, not HIPAA.","Red - The citation does not support the proposition. Wilson v. Collins does not address HIPAA at all. The case discusses private rights of action under Title VI, not HIPAA.",https://www.courtlistener.com/opinion/1462522/wilson-v-collins/,VERIFIED,,,briefs/kettering-v-collier/opinions/wilson-v-collins.txt
9,Tortious-interference and conversion theories are preempted by OUTSA where the alleged harm stems from misappropriation.,"Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d at 918-23 (N.D. Ohio 2011)","Office Depot, Inc. v. Impact Office Products, LLC (2011-09-26) - Ready","(1) Supports: Court discusses OUTSA preemption extensively, analyzing whether common-law claims (including tortious interference and conversion) are displaced when based on the same operative facts as a trade secret misappropriation claim.",Green - Case directly addresses OUTSA preemption of tortious interference and conversion claims at the cited pages.,https://www.courtlistener.com/opinion/8710614/office-depot-inc-v-impact-office-products-llc/,VERIFIED,,,briefs/kettering-v-collier/opinions/office-depot.txt
9,Any defamation-based claim arising from litigation conduct is absolutely privileged.,"Hecht v. Levin, 66 Ohio St. 3d at 460-61 (1993)",Hecht v. Levin (1993-06-23) - Ready,"(1) Supports: ""A statement made in the course of an attorney disciplinary proceeding enjoys an absolute privilege against a civil action based thereon as long as the statement bears some reasonable relation to the proceeding."" (Citing Surace)",Green - Case directly supports the proposition that defamation claims arising from judicial/litigation conduct are absolutely privileged.,https://www.courtlistener.com/opinion/10680926/hecht-v-levin/,VERIFIED,,,briefs/kettering-v-collier/opinions/hecht-v-levin.txt
