claim_id,page,proposition,cited_for,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,quote_check,quote_check_worst,brief_sentence,quote_floor,crosscheck_flags,triage_track,prescreen_hint,support,finding_analysis,assessed_by,badge_label,brief_block,opinion_block
kettering-mtd-01,2,Ohio does not recognize a civil cause of action for extortion.,,"Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.)",Simpson v. Voiture Nationale La Societe Des Quarante Hommes,,Green,https://www.courtlistener.com/opinion/4894979/simpson-v-voiture-nationale-la-societe-des-quarante-hommes/,VERIFIED,,opinions/Simpson_v_Voiture_Nationale_La_Societe_Des_Quarante_Hommes.html,"The trial court granted judgment on the pleadings and dismissed with prejudice several causes of action asserted in appellant's complaint one cause of action was dismissed without prejudice. As to the causes of action dismissed with prejudice, the trial court did not err by granting judgment on the pleadings in favor of appellees. As to the cause of action dismissed without prejudice, this court is without jurisdiction to consider this portion of appellant's appeal. Judgment affirmed.","[""Ohio law does not recognize a civil action for extortion""]","[{""quote"": ""Ohio law does not recognize a civil action for extortion"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": "". Angelini, 3d Dist. Crawford No. 3-11-16, 2012-Ohio-2136, \u00b6 6 , which states, \u201cOhio law does not recognize a civil action for extortion[,]\u201d and Heskett v. Van Horn Title Agency, Inc., 10th Dist. Franklin No.""}]",VERBATIM,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.), and Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.).",,,full,,supported,"Simpson supports the proposition. At ¶ 25 the court affirms dismissal of the extortion claim with prejudice, expressly adopting Angelini's statement that “Ohio law does not recognize a civil action for extortion,” and the quoted language is reproduced verbatim and accurately attributed. One caution worth flagging: the supporting discussion sits at ¶ 25, not ¶¶ 13-15 as cited — ¶¶ 13-15 address the unrelated defamation claim — so the pinpoint is off even though the substance holds.",opus/assess-v2,Supported,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.), and Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.).","The trial court also cited First Fed. Bank of Ohio v. Angelini, 3d Dist. Crawford No. 3-11-16, 2012-Ohio-2136, ¶ 6, which states, “Ohio law does not recognize a civil action for extortion[,]” [...] Based upon the cited cases, we agree with the trial court’s decision to dismiss these claims with prejudice."
kettering-mtd-02,2,Ohio does not recognize a civil cause of action for extortion.,,"First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.)",First Fed. Bank of Ohio v. Angelini,,Green,https://www.courtlistener.com/opinion/2696528/first-fed-bank-of-ohio-v-angelini/,VERIFIED,,opinions/First_Fed_Bank_of_Ohio_v_Angelini.html,,"[""Ohio law does not recognize a civil action for extortion""]","[{""quote"": ""Ohio law does not recognize a civil action for extortion"", ""result"": ""VERBATIM"", ""similarity"": 1.0, ""matched_passage"": ""Simply put, Ohio law does not recognize a civil action for extortion. Thus, the counterclaim was based upon a legal nullity.""}]",VERBATIM,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.), and Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.).",,,full,,supported,"Angelini directly supports the proposition: the court holds that “Ohio law does not recognize a civil action for extortion” and treats the extortion counterclaim as “a legal nullity.” The quoted language is verbatim. One caveat for citation form: the supporting holding appears at ¶ 14, not at ¶ 6 as the brief pincites; ¶ 6 recounts the jury verdict and the 2009 mistrial and says nothing about extortion.",opus/assess-v2,Supported,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.) [...]","Next, we consider the sanctions for the counterclaim asserted by appellant for extortion. Simply put, Ohio law does not recognize a civil action for extortion. Thus, the counterclaim was based upon a legal nullity."
kettering-mtd-03,2,Ohio does not recognize a civil cause of action for extortion.,,"Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.)","Heskett v. Van Horn Title Agency, Unpublished Decision (12-26-2006)",,Yellow,https://www.courtlistener.com/opinion/3941929/heskett-v-van-horn-title-agency-unpublished-decision-12-26-2006/,VERIFIED,,opinions/Heskett_v_Van_Horn_Title_Agency_Unpublished_Decision_12-26-2006.html,,"[""Ohio law does not recognize a civil action for extortion""]","[{""quote"": ""Ohio law does not recognize a civil action for extortion"", ""result"": ""FABRICATED"", ""similarity"": 0.51, ""matched_passage"": ""Neither are we aware of \""coercion\"" as a cognizable civil cause of action. Cf. R.C. 2905.12 (defining the crime of \""coercion,\"" a misdemeanor of the second degree).""}]",FABRICATED,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.), and Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.).",Yellow,,full,,partial,"Heskett is a summary-judgment appeal in a title/mortgage dispute, and the cited paragraph (¶ 26) addresses ""coercion,"" not ""extortion."" The court states it is ""not aware of 'coercion' as a cognizable civil cause of action"" and cross-references R.C. 2905.12, the criminal coercion statute. The word ""extortion"" appears nowhere in the opinion.

Coercion and extortion are sibling offenses within the same statutory chapter (R.C. Chapter 2905), so Heskett offers analogous support for the broader idea that a criminal compulsion offense does not create a civil cause of action. But the brief attaches Heskett to an extortion-specific proposition the opinion never decided, so the support is partial rather than direct. Note also that the quoted language ""Ohio law does not recognize a civil action for extortion"" is attributed in the brief to Simpson, not Heskett, and does not appear in this opinion.",opus/assess-v2,Overstated -- case partially supports,"Ohio does not recognize a civil cause of action for “extortion.” See Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.) (affirming dismissal; “Ohio law does not recognize a civil action for extortion”), citing First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.), and Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.).","Neither are we aware of ""coercion"" as a cognizable civil cause of action. Cf. R.C. 2905.12 (defining the crime of ""coercion,"" a misdemeanor of the second degree)."
kettering-mtd-04,2,A trade-secret plaintiff must take reasonable measures to maintain the secrecy of the claimed trade secret.,reasonable measures,"In re Protech Indus., 51 F.4th 714, 720-22 (6th Cir. 2022)",,,,,NOT_FOUND,,,,[],[],NO_QUOTES,"Further Kettering fails to identify any trade secret with particularity or reasonable secrecy measures. See 18 U.S.C. § 1839(5); In re Protech Indus., 51 F.4th 714, 720-22 (6th Cir. 2022) (reasonable measures); Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d 912, 919-23 (N.D. Ohio 2011) (particularity and OUTSA preemption).",,,,,,,,,,
kettering-mtd-05,2,"A trade secret must be identified with particularity, and overlapping common-law claims are preempted by the Ohio Uniform Trade Secrets Act.",particularity and OUTSA preemption,"Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d 912, 919-23 (N.D. Ohio 2011)","Office Depot, Inc. v. Impact Office Products, LLC",,Yellow,https://www.courtlistener.com/opinion/8710614/office-depot-inc-v-impact-office-products-llc/,VERIFIED,,opinions/Office_Depot_Inc_v_Impact_Office_Products_LLC.html,,[],[],NO_QUOTES,"Further Kettering fails to identify any trade secret with particularity or reasonable secrecy measures. See 18 U.S.C. § 1839(5); In re Protech Indus., 51 F.4th 714, 720-22 (6th Cir. 2022) (reasonable measures); Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d 912, 919-23 (N.D. Ohio 2011) (particularity and OUTSA preemption).",,,fast,,partial,"Office Depot squarely supports the OUTSA-preemption half of this parenthetical: it is the opinion's central holding that Office Depot's common-law claims are preempted by O.R.C. § 1333.67(A) to the extent they restate misappropriation-of-trade-secret facts, surviving only where an independent factual basis exists.

The parenthetical's other half -- ""particularity"" -- finds no footing. The motion was decided on a single ground: OUTSA preemption. The opinion never addresses whether a trade secret must be identified with particularity, nor reasonable secrecy measures as a legal requirement (its references to Office Depot's confidentiality policies are factual background only). Citing this case for a particularity requirement therefore overstates what it holds.",opus/assess-v2,Overstated -- case partially supports,"Further Kettering fails to identify any trade secret with particularity or reasonable secrecy measures. [...] Office Depot, Inc. v. Impact Off. Prods., LLC, 821 F. Supp. 2d 912, 919-23 (N.D. Ohio 2011) (particularity and OUTSA preemption).",The sole ground asserted for dismissal is that these claims are displaced and preempted by the Ohio Uniform Trade Secret Act (“OUTSA”).
kettering-mtd-06,2,"Accessing information with valid credentials does not violate the Computer Fraud and Abuse Act, foreclosing Kettering's CFAA claim.",,"Van Buren v. United States, 593 U.S. 374, 380-86 (2021)",Van Buren v. United States,,Yellow,https://www.courtlistener.com/opinion/4888668/van-buren-v-united-states/,VERIFIED,,opinions/Van_Buren_v_United_States.html,,[],[],NO_QUOTES,"The alleged Computer Fraud and Abuse Act claim is foreclosed by Van Buren v. United States, 593 U.S. 374, 380-86 (2021) and Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020), because Defendant Collier had accessed the information with valid credentials and at Kettering's direction during a system outage.",,,fast,,partial,"Van Buren supports the core of the foreclosure argument: the Court held that a person who accesses a computer with authorization and obtains information ""otherwise available to [him]"" does not violate the CFAA's ""exceeds authorized access"" clause even when his purpose is improper, which is the principle the brief invokes for Collier's authorized, directed access.

The proposition overstates the holding, however, by reducing the test to mere possession of ""valid credentials."" Van Buren's rule turns on whether the accesser was entitled to obtain the particular information, not on credentials as such: the Court expressly states that a person who uses authorized access to reach a prohibited ""Folder X,"" to which he lacks access, ""violates the CFAA by obtaining such information."" Valid login credentials therefore do not categorically defeat a CFAA claim, so the categorical phrasing in the brief sweeps somewhat broader than what the case decided.",opus/assess-v2,Overstated -- case partially supports,"The alleged Computer Fraud and Abuse Act claim is foreclosed by Van Buren v. United States, 593 U.S. 374, 380-86 (2021) and Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020), because Defendant Collier had accessed the information with valid credentials and at Kettering's direction during a system outage.","an individual “exceeds authorized access” when he accesses a computer with authorization but then obtains information located in particular areas of the computer—such as files, folders, or databases—that are off limits to him."
kettering-mtd-07,2,"Accessing information with valid credentials does not violate the Computer Fraud and Abuse Act, foreclosing Kettering's CFAA claim.",,"Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020)",Royal Truck & Trailer Sales v. Mike Kraft,,Green,https://www.courtlistener.com/opinion/4783709/royal-truck-trailer-sales-v-mike-kraft/,VERIFIED,,opinions/Royal_Truck_Trailer_Sales_v_Mike_Kraft.html,,[],[],NO_QUOTES,"The alleged Computer Fraud and Abuse Act claim is foreclosed by Van Buren v. United States, 593 U.S. 374, 380-86 (2021) and Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020), because Defendant Collier had accessed the information with valid credentials and at Kettering's direction during a system outage.",,"{""pincite_flag"": {""pinpoint"": ""758"", ""star_range"": [3, 7]}}",full,,supported,"Royal Truck directly supports the cited legal principle. The Sixth Circuit held that because the defendant employees were authorized to access the company information at issue, they did not ""exceed"" their ""authorized access"" under § 1030(a)(2) even though they later misused that information in violation of company policy, and on that basis it affirmed dismissal of the CFAA claim. The proposition that accessing information with valid credentials does not violate the CFAA is the opinion's central holding. Whether it actually forecloses Kettering's claim turns on the brief's factual premise that Collier accessed the data with valid credentials, which this opinion cannot itself confirm, but the legal rule the case is cited for is accurately stated.",opus/assess-v2,Supported,"The alleged Computer Fraud and Abuse Act claim is foreclosed by Van Buren v. United States, 593 U.S. 374, 380-86 (2021) and Royal Truck & Trailer Sales & Serv., Inc. v. Kraft, 974 F.3d 756, 758-61 (6th Cir. 2020), because Defendant Collier had accessed the information with valid credentials and at Kettering's direction during a system outage.","But because Royal concedes that the employees were authorized to access the information in question, it has failed to satisfy the statutory requirements for stating a claim under the CFAA."
kettering-mtd-08,2,HIPAA provides no private right of action.,,"Wilson v. Collins, 517 F.3d 421, 429 (6th Cir. 2008)",Wilson v. Collins,,Red,https://www.courtlistener.com/opinion/1462522/wilson-v-collins/,VERIFIED,,opinions/Wilson_v_Collins.html,,[],[],NO_QUOTES,"HIPAA provides no private right of action, and the materials at issue are de-identified by subject codes, not “PHI.” See Wilson v. Collins, 517 F.3d 421, 429 (6th Cir. 2008); 45 C.F.R. § 164.514(b)(2).",,,fast,,unsupported,"Wilson v. Collins is a Sixth Circuit constitutional-law case about a prisoner's challenge to Ohio's DNA-collection statute under the Fourth Amendment, due process, and equal protection. It does not address HIPAA, protected health information, or any HIPAA private right of action.

The opinion never mentions HIPAA. It does discuss a ""private right of action,"" but only as to Title VI of the Civil Rights Act of 1964 — holding (per Alexander v. Sandoval) that § 602 regulations cannot be enforced through a private cause of action — an entirely different statute from the one the brief invokes. The cited pincite, page 429, falls in the substantive-due-process discussion of whether a felon has a fundamental privacy interest in his DNA profile; it says nothing about private rights of action of any kind. The citation does not support the HIPAA proposition.",opus/assess-v2,Case on unrelated subject,"HIPAA provides no private right of action, and the materials at issue are de-identified by subject codes, not “PHI.” See Wilson v. Collins, 517 F.3d 421, 429 (6th Cir. 2008); 45 C.F.R. § 164.514(b)(2).",
kettering-mtd-09,3,Overlapping common-law torts are displaced by the Ohio Uniform Trade Secrets Act.,,"Stolle Mach. Co. v. RAM Precision Indus., 605 F. App'x 473, 484 (6th Cir. 2015)","Stolle Machinery Company, LLC v. Ram Precision Industries",,Green,https://www.courtlistener.com/opinion/2786363/stolle-machinery-company-llc-v-ram-precision-industries/,VERIFIED,,opinions/Stolle_Machinery_Company_LLC_v_Ram_Precision_Industries.html,,[],[],NO_QUOTES,"Overlapping torts are displaced by the Ohio Uniform Trade Secrets Act. See Ohio Rev. Code § 1333.67(A); Stolle Mach. Co. v. RAM Precision Indus., 605 F. App'x 473, 484 (6th Cir. 2015).",,,fast,,supported,"Section V of the opinion (beginning at the cited page 484) squarely supports this proposition: the Sixth Circuit held that the OUTSA displaces overlapping common-law tort claims, affirming dismissal of Stolle's tortious-interference and conspiracy claims as displaced because they merely restated the operative facts of its trade-secret-misappropriation claim. The pincite to page 484 is accurate.",opus/assess-v2,Supported,"Overlapping torts are displaced by the Ohio Uniform Trade Secrets Act. See Ohio Rev. Code § 1333.67(A); Stolle Mach. Co. v. RAM Precision Indus., 605 F. App'x 473, 484 (6th Cir. 2015).","The OUTSA incorporates the Uniform Trade Secrets Act's displacement of ""conflicting tort, restitutionary, and other laws of this state providing civil remedies for misappropriation of a trade secret."" Ohio Rev.Code § 1333.67(A)."
kettering-mtd-10,3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,Green,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,[],[],NO_QUOTES,"A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face. Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009) (internal quotation marks omitted); Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007).",,,fast,,supported,"Iqbal states this standard nearly verbatim at page 678, the cited pincite, holding that to survive a motion to dismiss a complaint must contain sufficient factual matter, accepted as true, to state a claim to relief that is plausible on its face. The proposition accurately tracks the opinion's language and holding.",opus/assess-v2,Supported,"A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face. Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009) (internal quotation marks omitted); Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007).","To survive a motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to ""state a claim to relief that is plausible on its face."""
kettering-mtd-11,3,A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face.,,"Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007)",Bell Atlantic Corp. v. Twombly,,Green,https://www.courtlistener.com/opinion/145730/bell-atlantic-corp-v-twombly/,VERIFIED,,opinions/Bell_Atlantic_Corp_v_Twombly.html,,[],[],NO_QUOTES,"A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face. Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009) (internal quotation marks omitted); Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007).",,,fast,,supported,"Twombly is the source of the ""plausible on its face"" pleading standard the brief invokes, and the cited pincite is exact: at page 570 the Court holds that it requires ""only enough facts to state a claim to relief that is plausible on its face,"" adding that ""[b]ecause the plaintiffs here have not nudged their claims across the line from conceivable to plausible, their complaint must be dismissed."" The brief's ""sufficient factual matter"" phrasing tracks the companion Iqbal formulation it cites alongside Twombly, but the substantive proposition is squarely supported by Twombly at the page cited.",opus/assess-v2,Supported,"A complaint must contain sufficient factual matter to state a claim to relief that is plausible on its face. Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009) (internal quotation marks omitted); Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 (2007).",
kettering-mtd-12,3,Courts disregard legal conclusions couched as factual allegations.,,"Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)",Ashcroft v. Iqbal,,Green,https://www.courtlistener.com/opinion/145875/ashcroft-v-iqbal/,VERIFIED,,opinions/Ashcroft_v_Iqbal.html,,[],[],NO_QUOTES,"Courts disregard legal conclusions couched as factual allegations. Iqbal, 556 U.S. at 678.",,,fast,,supported,"At page 678, Iqbal holds that the assumption of truth does not extend to legal conclusions and that a court is ""not bound to accept as true a legal conclusion couched as a factual allegation,"" which directly supports the brief's proposition that courts disregard legal conclusions couched as factual allegations.",opus/assess-v2,Supported,"Courts disregard legal conclusions couched as factual allegations. Iqbal, 556 U.S. at 678.","the tenet that a court must accept as true all of the allegations contained in a complaint is inapplicable to legal conclusions. Threadbare recitals of the elements of a cause of action, supported by mere conclusory statements, do not suffice."
kettering-mtd-13,3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,,"Simpson v. Voiture Nationale La Société des Quarante Hommes et Huit Chevaux, 2021-Ohio-2131, ¶¶ 13-15 (2d Dist.)",Simpson v. Voiture Nationale La Societe Des Quarante Hommes,,Green,https://www.courtlistener.com/opinion/4894979/simpson-v-voiture-nationale-la-societe-des-quarante-hommes/,VERIFIED,,opinions/Simpson_v_Voiture_Nationale_La_Societe_Des_Quarante_Hommes.html,"The trial court granted judgment on the pleadings and dismissed with prejudice several causes of action asserted in appellant's complaint one cause of action was dismissed without prejudice. As to the causes of action dismissed with prejudice, the trial court did not err by granting judgment on the pleadings in favor of appellees. As to the cause of action dismissed without prejudice, this court is without jurisdiction to consider this portion of appellant's appeal. Judgment affirmed.",[],[],NO_QUOTES,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.",,,fast,,supported,"Simpson supports the proposition. At ¶ 25 the court holds that R.C. 2905.11 (extortion) is a criminal statute that creates no private cause of action and affirms dismissal with prejudice, relying on both Angelini and Heskett — the opinion itself stacking prior authority, which bears out the brief's “repeatedly held” framing (the “stand-alone” phrasing also tracks the trial court's language quoted at ¶ 5). As with the parallel citation, the relevant holding is at ¶ 25, not the cited ¶¶ 13-15, which concern the defamation claim.",opus/assess-v2,Supported,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.","R.C. 2905.11 and R.C. 2905.12 are criminal statutes prohibiting extortion and coercion, respectively. [...] The trial court also cited First Fed. Bank of Ohio v. Angelini [...] 2012-Ohio-2136, ¶ 6, which states, “Ohio law does not recognize a civil action for extortion[,]” [...] Based upon the cited cases, we agree with the trial court’s decision to dismiss these claims with prejudice."
kettering-mtd-14,3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,,"First Fed. Bank of Ohio v. Angelini, 2012-Ohio-2136, ¶ 6 (3d Dist.)",First Fed. Bank of Ohio v. Angelini,,Green,https://www.courtlistener.com/opinion/2696528/first-fed-bank-of-ohio-v-angelini/,VERIFIED,,opinions/First_Fed_Bank_of_Ohio_v_Angelini.html,,[],[],NO_QUOTES,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.",,,fast,,supported,"Angelini supports the proposition that Ohio recognizes no stand-alone civil cause of action for extortion: the court flatly states that “Ohio law does not recognize a civil action for extortion” and affirms sanctions because the extortion counterclaim “was based upon a legal nullity.” The brief pincites ¶ 6, but the extortion holding is at ¶ 14; ¶ 6 concerns the jury verdict and mistrial, not extortion.",opus/assess-v2,Supported,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.","Simply put, Ohio law does not recognize a civil action for extortion. Thus, the counterclaim was based upon a legal nullity."
kettering-mtd-15,3,Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion.,,"Heskett v. Van Horn Title Agency, Inc., 2006-Ohio-6900, ¶ 26 (10th Dist.)","Heskett v. Van Horn Title Agency, Unpublished Decision (12-26-2006)",,Yellow,https://www.courtlistener.com/opinion/3941929/heskett-v-van-horn-title-agency-unpublished-decision-12-26-2006/,VERIFIED,,opinions/Heskett_v_Van_Horn_Title_Agency_Unpublished_Decision_12-26-2006.html,,[],[],NO_QUOTES,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.",,,fast,,partial,"The brief cites Heskett ¶ 26 for the proposition that Ohio courts have ""repeatedly held"" there is no stand-alone civil cause of action for extortion, but ¶ 26 addresses coercion, not extortion, and the opinion never uses the word ""extortion."" The court's actual statement is a single, somewhat tentative observation that it is ""not aware of 'coercion' as a cognizable civil cause of action,"" cross-referencing the criminal coercion statute (R.C. 2905.12) — not a repeated or settled holding about extortion.

Because coercion and extortion are closely related offenses in the same statutory chapter, Heskett lends analogous support to the general principle, but it does not establish an extortion-specific rule and is one intermediate-appellate aside rather than evidence of courts ""repeatedly"" so holding. The support is therefore partial.",opus/assess-v2,Overstated -- case partially supports,"Ohio courts have repeatedly held there is no stand-alone civil cause of action for extortion. Simpson, 2021-Ohio-2131, ¶¶ 13-15; Angelini, 2012-Ohio-2136, ¶ 6; Heskett, 2006-Ohio-6900, ¶ 26.","Neither are we aware of ""coercion"" as a cognizable civil cause of action. Cf. R.C. 2905.12 (defining the crime of ""coercion,"" a misdemeanor of the second degree)."
kettering-mtd-16,3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,,"Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993)",Hecht v. Levin,,Green,https://www.courtlistener.com/opinion/10680926/hecht-v-levin/,VERIFIED,,opinions/Hecht_v_Levin.html,"Torts—Defamation—Attorneys at law—Complaint filed with grievance committee of local bar association is part of a judicial proceeding—Statement made in course of attorney disciplinary proceeding enjoys an absolute privilege against a civil action based thereon, when—R.C. 2305.28 does not apply to attorney disciplinary proceedings.",[],[],NO_QUOTES,"To the extent Kettering reframes its grievance as defamation or abuse-of-process, communications made in or reasonably related to judicial proceedings are absolutely privileged. Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993); Surace v. Wilier, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986).",,,fast,,supported,"Hecht v. Levin directly supports this proposition. The court held that ""[a] statement made in a judicial proceeding enjoys an absolute privilege against a defamation action as long as the allegedly defamatory statement is reasonably related to the proceeding in which it appears"" (¶7), and its syllabus and holding restate that a statement enjoys absolute privilege ""as long as the statement bears some reasonable relation to the proceeding"" (¶22). The brief's formulation — communications made in or reasonably related to judicial proceedings are absolutely privileged — tracks the holding faithfully, including the reasonable-relation qualifier.",opus/assess-v2,Supported,"To the extent Kettering reframes its grievance as defamation or abuse-of-process, communications made in or reasonably related to judicial proceedings are absolutely privileged. Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993) [...]",
kettering-mtd-17,3,Communications made in or reasonably related to judicial proceedings are absolutely privileged.,,"Surace v. Wilier, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986)",Surace v. Wuliger,,Green,https://www.courtlistener.com/opinion/6868174/surace-v-wuliger/,VERIFIED,,opinions/Surace_v_Wuliger.html,,[],[],NO_QUOTES,"To the extent Kettering reframes its grievance as defamation or abuse-of-process, communications made in or reasonably related to judicial proceedings are absolutely privileged. Hecht v. Levin, 66 Ohio St. 3d 458, 460-61, 613 N.E.2d 585 (1993); Surace v. Wilier, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986).",,,fast,,supported,"Surace v. Wuliger directly supports the proposition. The opinion adopts and applies the doctrine of absolute privilege in judicial proceedings, holding that a defamatory statement made in a pleading is absolutely privileged where it ""bears some reasonable relation to the judicial proceeding in which it appears."" The brief's formulation -- that communications made in or reasonably related to judicial proceedings are absolutely privileged -- tracks the opinion's ""reasonable relation"" standard, and the pincite (232-33) falls squarely within the court's analysis adopting that rule.",opus/assess-v2,Supported,"To the extent Kettering reframes its grievance as defamation or abuse-of-process, communications made in or reasonably related to judicial proceedings are absolutely privileged. [...] Surace v. Wilier, 25 Ohio St. 3d 229, 232-33, 495 N.E.2d 939 (1986).","Thus, we hold that as a matter of public policy, under the doctrine of absolute privilege in a judicial proceeding, a claim alleging that a defamatory statement was made in a written pleading does not state a cause of action where the allegedly defamatory statement bears some reasonable relation to the judicial proceeding in which it appears."
