citation,status,confidence,cl_url,matched_name,matched_court,matched_court_id,diagnostics_cat,diagnostics_msg,syllabus
"Strickland v. Washington, 466 U.S. 668 (1984)",VERIFIED,1.00,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,Strickland v. Washington,Supreme Court of the United States,scotus,,,
"Reynolds v. State, 306 Ga. 630 (2019)",NOT_FOUND,0.00,,,,,,Quick search only: not in citation lookup API,
"Harbuck v. State, 288 Ga. 768 (2011)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/2112294/state-v-rozier/,State v. Rozier,,,,no party-overlap across cluster/docket/opinion sources,
"Reed v. State, 291 Ga. 10 (2012)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2506728/reed-v-state/,Reed v. State,Supreme Court of Georgia,ga,,,
"Davis v. State, 285 Ga. 343 (2009)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1322724/davis-v-state/,Davis v. State,Supreme Court of Georgia,ga,,,
"Head v. Ferrell, 274 Ga. 399 (2001)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1323520/head-v-ferrell/,Head v. Ferrell,Supreme Court of Georgia,ga,,,
"Rumph v. State, 307 Ga. 477 (2019)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10366942/state-v-rumph/,State v. Rumph,Supreme Court of Georgia,ga,cl_display_name_data_bug,"Brief caption ""Rumph v. State"" differs from CL caption ""State v. Rumph"" but party-overlap confirms it is the same case.; party-overlap match via cluster_case_name",
"Jones v. State, 283 Ga. 155 (2008)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1208630/moore-v-state/,Moore v. State,,,,no party-overlap across cluster/docket/opinion sources,
"Hughes v. State, 269 Ga. App. 242 (2004)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1324101/bravo-v-state/,Bravo v. State,,,,no party-overlap across cluster/docket/opinion sources,
"Manzano v. State, 282 Ga. 557 (2007)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1387492/manzano-v-state/,Manzano v. State,Supreme Court of Georgia,ga,,,
"Manzano v. State, 282 Ga. 557, 559 (2007)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1387492/manzano-v-state/,Manzano v. State,Supreme Court of Georgia,ga,,,
"Durden v. State, 327 Ga. App. 173, 179 (2014)",VERIFIED,1.00,https://www.courtlistener.com/opinion/7929776/durden-v-state/,Durden v. State,Court of Appeals of Georgia,gactapp,,,
"Lang v. State, 344 Ga. App. 623, 627 (2018)",NOT_FOUND,0.00,,,,,,Quick search only: not in citation lookup API,
"State v. Kelly, 290 Ga. 29, 33 (2011)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2506257/state-v-kelly/,State v. Kelly,Supreme Court of Georgia,ga,,,
"Chapman v. State, 273 Ga. 348 (2001)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1379079/chapman-v-state/,Chapman v. State,Supreme Court of Georgia,ga,,,
"Black v. State, 264 Ga. 550 (1994)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1399641/black-v-state/,Black v. State,Supreme Court of Georgia,ga,,,
"Head v. Carr, 273 Ga. 613 (2001)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1266664/head-v-carr/,Head v. Carr,Supreme Court of Georgia,ga,,,
"Strickland, 466 U.S. at 689",VERIFIED_PARTIAL,1.00,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,Strickland v. Washington,Supreme Court of the United States,scotus,name_unverified,"The citation resolved in CourtListener's index, but no case name was available to compare (no name parsed from the citation). The cited case is unconfirmed — treat as partial verification.; citation resolved; no case name available to compare",
"Bryant v. State, 268 Ga. App. 362 (2004)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/7921700/in-the-interest-of-d-l/,In the Interest of D. L.,,,,no party-overlap across cluster/docket/opinion sources,
United States v. Valenzuela-Bernal (1982),INSUFFICIENT_DATA,0.00,,,,,,Quick search only: not in citation lookup API,
"Strickland, 466 U.S. 668 (1984)",VERIFIED,1.00,https://www.courtlistener.com/opinion/111170/strickland-v-washington/,Strickland v. Washington,Supreme Court of the United States,scotus,,,
"Reynolds, 306 Ga. 630 (2019)",NOT_FOUND,0.00,,,,,,Quick search only: not in citation lookup API,
"Mahan v. State, 282 Ga. App. 201, 204 (2006)",VERIFIED,1.00,https://www.courtlistener.com/opinion/7922975/mahan-v-state/,Mahan v. State,Court of Appeals of Georgia,gactapp,,,
"Clark v. State, 315 Ga. 1, 4 (2022)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10679789/clark-v-state/,Clark v. State,Supreme Court of Georgia,ga,,,
"Jones v. State, 296 Ga. 561, 567 (769 SE2d 307) (2015)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2779582/jones-v-state/,Jones v. State,Supreme Court of Georgia,ga,,,
"Butler v. State, 313 Ga. 675, 683, 872 S.E.2d 722, 731 (2022)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10679906/butler-v-state/,Butler v. State,Supreme Court of Georgia,ga,,,
"Smith v. State, 314 Ga. App. 583, 588 (2012)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2502877/smith-v-state/,Smith v. State,Court of Appeals of Georgia,gactapp,,,
"Bradley v. State, 318 Ga. 142, 144 (2024)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10680416/bradley-v-state/,Bradley v. State,Supreme Court of Georgia,ga,,,
"Johnson v. Jackson, 140 Ga. App. 252 (1976)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1217054/johnson-v-jackson/,Johnson v. Jackson,Court of Appeals of Georgia,gactapp,,,
"Merneigh v. State, 242 Ga. App. 735 (2000)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1420144/merneigh-v-state/,Merneigh v. State,Court of Appeals of Georgia,gactapp,,,
"Delegal v. State, 109 Ga. 518, 521 (1900)",VERIFIED,1.00,https://www.courtlistener.com/opinion/5719482/delegal-v-state/,Delegal v. State,Supreme Court of Georgia,ga,,,
"Prayor v. State, 217 Ga. App. 56 (1995)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1253106/prayor-v-state/,Prayor v. State,Court of Appeals of Georgia,gactapp,,,
"Prayor v. State, 217 Ga. App. 56, 58",VERIFIED,1.00,https://www.courtlistener.com/opinion/1253106/prayor-v-state/,Prayor v. State,Court of Appeals of Georgia,gactapp,,,
"Prayor v. State, 217 Ga. App. 56",VERIFIED,1.00,https://www.courtlistener.com/opinion/1253106/prayor-v-state/,Prayor v. State,Court of Appeals of Georgia,gactapp,,,
"Hayes v. State, 261 Ga. 439 (1991)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1233384/hayes-v-state/,Hayes v. State,Supreme Court of Georgia,ga,,,
"Chambers v. State, 308 Ga. App. 748",VERIFIED,1.00,https://www.courtlistener.com/opinion/2502836/chambers-v-state/,Chambers v. State,Court of Appeals of Georgia,gactapp,,,
"Reddick v. State, 321 Ga. 73 (2025)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10680534/reddick-v-state/,Reddick v. State,Supreme Court of Georgia,ga,,,
"Patel v. State, 279 Ga. 750",VERIFIED,1.00,https://www.courtlistener.com/opinion/1245424/patel-v-state/,Patel v. State,Supreme Court of Georgia,ga,,,
"Nelson v. State, 283 Ga. 119, 121 (2008)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1374685/nelson-v-state/,Nelson v. State,Supreme Court of Georgia,ga,,,
"Davis v. State, 269 Ga. 276, 277 (1998)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1398343/davis-v-state/,Davis v. State,Supreme Court of Georgia,ga,,,
"Hamm v. State, 294 Ga. 791, 795 (2014)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2687390/hamm-v-state/,Hamm v. State,Supreme Court of Georgia,ga,,,
"Hayes v. State, 261 Ga. 439",VERIFIED,1.00,https://www.courtlistener.com/opinion/1233384/hayes-v-state/,Hayes v. State,Supreme Court of Georgia,ga,,,
"Wainwright v. State, 305 Ga. 63 (2019)",VERIFIED,1.00,https://www.courtlistener.com/opinion/7479307/wainwright-v-state/,Wainwright v. State,Supreme Court of Georgia,ga,,,
"Powers v. State, 297 Ga. 345 (2015)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2808301/powers-v-state/,Powers v. State,Supreme Court of Georgia,ga,,,
"Patel v. State, 279 Ga. 50",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1256046/smith-v-state/,Smith v. State,,,,no party-overlap across cluster/docket/opinion sources,
"Wainwright v. State, 305 Ga. 63",VERIFIED,1.00,https://www.courtlistener.com/opinion/7479307/wainwright-v-state/,Wainwright v. State,Supreme Court of Georgia,ga,,,
"Tarvestad v. State, 261 Ga. 605",VERIFIED,1.00,https://www.courtlistener.com/opinion/1409138/tarvestad-v-state/,Tarvestad v. State,Supreme Court of Georgia,ga,,,
"Virgil v. State, 227 Ga. App. 96",VERIFIED,1.00,https://www.courtlistener.com/opinion/5793070/virgil-v-state/,Virgil v. State,Court of Appeals of Georgia,gactapp,,,
"Johnson v. Jackson, 140 Ga. App. 252",VERIFIED,1.00,https://www.courtlistener.com/opinion/1217054/johnson-v-jackson/,Johnson v. Jackson,Court of Appeals of Georgia,gactapp,,,
"Merneigh v. State, 242 Ga. App. 735",VERIFIED,1.00,https://www.courtlistener.com/opinion/1420144/merneigh-v-state/,Merneigh v. State,Court of Appeals of Georgia,gactapp,,,
"Montgomery v. State, 315 Ga. 467, 473 (2023)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10680180/montgomery-v-state/,Montgomery v. State,Supreme Court of Georgia,ga,,,
"Walker v. State, 292 Ga. 262, 264 (2013)",VERIFIED,1.00,https://www.courtlistener.com/opinion/5748911/walker-v-state/,Walker v. State,Supreme Court of Georgia,ga,,,
"State v. Denson, 306 Ga. 795, 798 (2019)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10367022/state-v-denson/,State v. Denson,Supreme Court of Georgia,ga,,,
"State v. Hamilton, 306 Ga. 678, 684 (2019)",VERIFIED,1.00,https://www.courtlistener.com/opinion/10367039/state-v-hamilton/,State v. Hamilton,,,,,
"Hargrave v. State, 311 Ga. App. 852, 855 (2011)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2501796/hargrave-v-state/,Hargrave v. State,Court of Appeals of Georgia,gactapp,,,
"Taylor v. State, 259 Ga. App. 457, 460 (2003)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1155076/taylor-v-state/,Taylor v. State,,,,,
"Jackson v. Virginia, 443 U.S. 307 (1979)",VERIFIED,1.00,https://www.courtlistener.com/opinion/110138/jackson-v-virginia/,Jackson v. Virginia,,,,,
"Caldwell v. State, 263 Ga. 560, 436 S.E.2d 488 (1993)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1229904/caldwell-v-state/,Caldwell v. State,,,,,
"Vega v. State, 285 Ga. 32, 673 S.E.2d 223 (2009)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1291675/vega-v-state/,Vega v. State,Supreme Court of Georgia,ga,,,
"Santiago v. State, 314 Ga. App. 623, 623, 724 S.E.2d 793, 794 (2012)",VERIFIED,1.00,https://www.courtlistener.com/opinion/2507789/santiago-v-state/,Santiago v. State,Court of Appeals of Georgia,gactapp,,,
"Goldsby v. State, 273 Ga. App. 523 (2005)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1279473/goldsby-v-state/,Goldsby v. State,Court of Appeals of Georgia,gactapp,,,
"Choisnet v. State, 292 Ga. 860, 861, 742 S.E.2d 476 (2013)",VERIFIED,1.00,https://www.courtlistener.com/opinion/5749040/choisnet-v-state/,Choisnet v. State,Supreme Court of Georgia,ga,,,
"Smiley v. State, 300 Ga. 582, 583 (2017)",VERIFIED,1.00,https://www.courtlistener.com/opinion/5749590/smiley-v-state/,Smiley v. State,Supreme Court of Georgia,ga,,,
"Mickens v. State, 277 Ga. 627, 627-628 (2004)",VERIFIED,1.00,https://www.courtlistener.com/opinion/1351880/mickens-v-state/,Mickens v. State,Supreme Court of Georgia,ga,,,
"Reynolds v. State, 306 Ga. 630 (2019)",NOT_FOUND,0.00,https://www.courtlistener.com/opinion/7479879/state-v-mondor/,State v. Mondor,,,,"Party mismatch: found ""State v. Mondor"" shares only one party with cited ""Reynolds v. State""; Name mismatch: cited ""Reynolds v. State"" vs found ""State v. Mondor""; Citation mismatch: cited 306 Ga. 630 but CourtListener has 830 S.E.2d 206 306 Ga. 338",
"Harbuck v. State, 288 Ga. 768 (2011)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/2112294/state-v-rozier/,State v. Rozier,,,,no party-overlap across cluster/docket/opinion sources,
"Jones v. State, 283 Ga. 155 (2008)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1208630/moore-v-state/,Moore v. State,,,,no party-overlap across cluster/docket/opinion sources,
"Hughes v. State, 269 Ga. App. 242 (2004)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1324101/bravo-v-state/,Bravo v. State,,,,no party-overlap across cluster/docket/opinion sources,
"Lang v. State, 344 Ga. App. 623, 627 (2018)",VERIFIED,0.90,https://www.courtlistener.com/opinion/7478231/lang-v-state/,Lang v. State,Court of Appeals of Georgia,gactapp,cite_not_on_record,"Cited location 344 Ga. App. 623 could not be checked: CourtListener lists no citation in the same reporter family for the matched case; Citation mismatch: cited 344 Ga. App. 623 but CourtListener has 812 S.E.2d 16, but we identified a likely match.",
"Bryant v. State, 268 Ga. App. 362 (2004)",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/7921700/in-the-interest-of-d-l/,In the Interest of D. L.,,,,no party-overlap across cluster/docket/opinion sources,
United States v. Valenzuela-Bernal (1982),INSUFFICIENT_DATA,0.00,,,,,,Insufficient data to verify: citation text is missing both court and date. A match cannot be confirmed with name alone. Try adding the court and year parenthetical (e.g. '(E.D. Tenn. 2020)') to the citation text.,
"Reynolds, 306 Ga. 630 (2019)",NOT_FOUND,0.00,,,,,,,
"Patel v. State, 279 Ga. 50",WRONG_CASE,1.00,https://www.courtlistener.com/opinion/1256046/smith-v-state/,Smith v. State,,,,no party-overlap across cluster/docket/opinion sources,
