claim_id,scale,expected,exists,hedged,notes,provenance
withers-01,withers_exhibit,green,Yes,no,"The citation should include ""See"" as an introductory signal, but the case does broadly stand for the proposition stated.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-02,withers_exhibit,green,Yes,no,"The citation should include ""See"" as an introductory signal, but the case does broadly stand for the proposition stated. Note this is a similar, but not identical, filing as Doc. 48. For this reason, we included it as a separate entry.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-03,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-04,withers_exhibit,yellow,Yes,no,"The citation does provide the quotation: ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect."" It does not, however, contain the initial quoted language: ""the excusable neglect standard is a strict one,"" although it can be argued the case generally supports the proposition. Furthermore, additional Fifth Circuit citations provide the correct quotation. See Birl v. Estelle, 660 F.2d 592, 593 (5th Cir. 1981).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-05,withers_exhibit,yellow,Yes,no,The court's holding was slightly narrower than the stated proposition. It held the party's failure to file a Fed. R. Civ. P. 4(a)(1) notice of appeal on time was not excusable neglect because counsel could have determined the correct opt-out date on their own accord. See id. at 472-73.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-06,withers_exhibit,yellow,Yes,no,"This case did not involve a pro se litigant or the prison mailbox rule. Rather, the issue was whether the appellant's counsel's receipt of a written facsimile copy of judgment was sufficient to start the 7-day clock for appeal, even if not served by mail from the court in strict compliance with Fed. R. Civ. P. 77(d). See id. at 333-34.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-07,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-08,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-09,withers_exhibit,yellow,Yes,no,"Although the case does not mention ""judicial admissions"" in those words, it does support the proposition admissions are binding and cannot be rebutted by contrary testimony.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-10,withers_exhibit,yellow,Yes,no,The case cited does not include the quotation provided.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-11,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-12,withers_exhibit,yellow,Yes,no,"This case discusses a trial court's decision to permit the withdrawal or amendment of an admission, rather than failure to timely serve admissions and does not address the issue in light of the summary judgment standard. See id. at 1119-20. However, it does stand for the proposition admissions are binding and cannot be rebutted by contrary testimony.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-13,withers_exhibit,yellow,Yes,no,"This is a Second, not Fifth Circuit case. However, this case does support the proposition that summary judgment may stand where a party who is issued requests for admission fails to timely respond. (3) The cited quote is not present in the case.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-14,withers_exhibit,yellow,Yes,no,"Although it is unclear what is meant by a ""judicial admission,"" this case does support the proposition that summary judgment may stand where a party who is issued requests for admission fails to timely respond or move to withdraw or amend their deemed responses. (3) The cited quote is not present in the case. (4) This proposition is not supported by this case. (5) The case does not discuss Rule 36's ""efficiencies"" or prejudice to a party for failure to obtain discovery on a sensible schedule. However, it does broadly support strict compliance with Rule 36 and similar rules.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-15,withers_exhibit,green,Yes,no,"None. Celotex establishes the general rule that the admissions on file, along with other evidence, may support a holding there is no genuine issue of material fact for summary judgment purposes.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-16,withers_exhibit,green,Yes,no,"None. Anderson reiterates the Celotex rule that the admissions on file, along with other evidence, may support a holding there is no genuine issue of material fact for summary judgment purposes.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-17,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-18,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-19,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-20,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-21,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-22,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-23,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-24,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-25,withers_exhibit,green,Yes,no,"None other than that the quoted portion can be found at n.32, not n.2.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-26,withers_exhibit,green,Yes,yes,"This is arguable. While this case reflects the appellant failed to meet only one procedural deadline, the court also notes (1) appellant's first attorney withdrew due to appellant's failure to cooperate and refusal to appear as requested and ordered, (2) appellant instructed his second set of attorneys to negotiate settlement but not file a NOA in court, (3) evidence suggested appellant and his attorneys were aware of the default proceeding for failure to answer, and (4) appellant ceased communication with his attorneys and did not finalize settlement. Therefore, it would be misleading to suggest failure to answer (a complaint, rather than RFAs) was the Court's only consideration.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-27,withers_exhibit,green,Yes,no,"None. This citation was used in a quote from the Lacey case, listed above, and not as authority for a separate assertion by the attorney for Plaintiff in this case.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-28,withers_exhibit,yellow,Yes,yes,"This citation should have included a parenthetical explaining its relevance. Although the court briefly discusses a party's delay in filing a motion to set aside a default judgment, it does not discuss prejudice to a party or that prejudice exists where delay results in lost evidence, increased difficulty during discovery, or risks of fraud or collusion. In fact, in holding the trial court did not abuse its discretion in vacating a default judgment, it noted doing so does not harm the plaintiff other than to required plaintiff to prove its case. This seems to harm Plaintiff's argument in this Motion.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-29,withers_exhibit,green,Yes,no,"None. The case can also be found at: Hernandez v. Ho'Olaulima Gov't Sols., LLC, 2024 U.S. Dist. LEXIS 235864, *6 (W.D. Tex. March 19, 2024).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-30,withers_exhibit,green,Yes,no,"None. This citation actually goes further to support the proposition, holding attorney's fees can be awarded even if ""good cause"" is not shown. The case can also be found at: Rice v. Hamiltondavis Mental Health, Inc., 2023 U.S. Dist. LEXIS 94373, *5 (S.D. Miss. May 31, 2023).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-31,withers_exhibit,green,Yes,no,"This case states a slightly more narrow rule, but still broadly supports the proposition. This case provides that courts use the lodestar method, accurately recited in the proposition, to award attorneys fees in a Fair Labor Standards Act case.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-32,withers_exhibit,yellow,Yes,yes,"This is debatable. The authority provided generally holds that the ""forum rate"" or in-district rate is the starting point for calculating attorney fee awards but that out-of-district rates may be considered under certain circumstances. Thus, the use of the phrase ""key factor"" is slightly misleading.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-33,withers_exhibit,yellow,Yes,no,"This is misleading and an inaccurate quote. The correct quote is: ""When an attorney's customary billing rate is the rate at which the attorney requests the lodestar be computed and that rate is within the range of prevailing market rates, the court should consider this rate when fixing the hourly rate to be allowed. When that rate is not contested, it is prima facie reasonable. When the requested rate of compensation exceeds the attorney's usual charge but remains within the customary range in the community, the district court should consider whether the requested rate is reasonable."" Thus, the authority does not support the proposition an attorney's hourly rate is prima facie reasonable when it is within the range he has charged clients for similar work.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-34,withers_exhibit,green,Yes,no,"This citation was used in Defendant's brief, which Plaintiff now distinguishes. The proposition is sufficiently broad as to be arguably supported by the authority provided. The citation can also be found at: Jones v. Singing River Health Sys., 2016 U.S. Dist. LEXIS 188753, *46 (M.D. Miss. June 2, 2016).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-35,withers_exhibit,green,Yes,no,"This citation was used in Defendant's brief, which Plaintiff now distinguishes. The proposition is sufficiently broad as to be arguably supported by the authority provided. The citation can also be found at: ABC Supply Co. v. All in One Renovations LLC, 2025 U.S. Dist. LEXIS 213307, *12-14 (N.D. Miss. Oct. 29, 2025).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-36,withers_exhibit,green,Yes,yes,"This is an arguable assertion. The note cited discusses how purely paralegal work cannot be assigned legal rates, just as clerical tasks cannot be assigned paralegal rates. However, the court does not define whether the instances cited in the proposition would constitute legal, paralegal, or clerical tasks.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-37,withers_exhibit,yellow,Yes,no,"This is an inaccurate quote and is misleading. The real quote is: ""The time spent [] replying [to Defendants' objections] is compensable under § 1988. To hold otherwise would dilute the fee award and be inconsistent with the purposes of § 1988."" However, the authority does broadly support the proposition.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-38,withers_exhibit,yellow,Yes,no,"This is not a direct quote, although the authority directly supports the proposition. The direct quote is: ""summary judgment will not lie if the dispute about a material fact is 'genuine,' that is, if the evidence is such that a reasonable jury could return a verdict for the nonmoving party.""",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-39,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-40,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-41,withers_exhibit,yellow,Yes,no,"The authority cited does not support the proposition. In fact, the court did not reach the issue of whether the appellant could appeal, by bill of exception, an alleged failure to act by a governing board of authorities of a municipality to a circuit court because it ruled appellate did not have standing anyway. It does not discuss quasi-judicial and legislative vs. ministerial and administrative actions by municipal bodies.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-42,withers_exhibit,red,No,yes,"This seems to be an hallucinated case. The closest I could find was City of Grenada v. Harrelson, 725 So. 2d 770 (Miss. 1998). This case involved a declaratory judgment and injunctive relief action by a city against its city counsel for failing to properly adopt election procedures and districts. It does not mention bills of exceptions. The quote cannot be located, either.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-43,withers_exhibit,red,No,yes,"This appears to be an hallucinated case. The citation 99 So.3d 751 is styled Watts v. Watts, 99 So.3d 751 (Miss. Ct. App. 2012) and discusses a chancellor's award of joint child custody.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-44,withers_exhibit,yellow,Yes,no,"The proposition is not supported by the authority. The Stringer court overturned a trial court's summary judgment ruling for the defendant because, even though the plaintiff exercised reasonable diligence in seeking her medical records to find the appropriate defendants, factual questions remained as to what the plaintiff knew and when. It does not discuss when a plaintiff should have discovered his/her injury, but when he/she discovered the names of the defendant he/she seeks to add past the statute of limitations deadline.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-45,withers_exhibit,yellow,Yes,no,"This is not a direct quote, although the authority directly supports the proposition. The direct quote is: ""in the case of a breach of contract, the cause of action accrues at the time of the breach . . . .""",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-46,withers_exhibit,green,Yes,yes,"(1) None. (2) This is a bit confusing. I believe the author is trying to say repudiation ripens into a breach prior to the time for performance if the promisee elects to treat it as a breach. If so, this proposition is supported by the authority.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-47,withers_exhibit,yellow,Yes,no,"This is the correct citation for a case out of the 6th, not 5th, Circuit styled Doe v. City of Memphis, 928 F.3d 481 (6th Cir. 2019). However, this case dealt with whether the district court erred in striking the plaintiffs' class allegations before plaintiffs had a meaningful chance to pursue discovery. It does not discuss the procedural rules for surreplies, as the proposition suggests.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-48,withers_exhibit,yellow,Yes,no,"This authority does not support the proposition stated. The case primarily discusses whether a hospital has standing to enforce insurance contracts, the rights pursuant to which were assigned to it by their patients. It also discusses whether summary judgment was appropriate as to the plaintiffs' RICO claims. However, it does not provide support for the assertion surreplies are routinely permitted in the Fifth Circuit where the reply brief raises new issues.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-49,withers_exhibit,yellow,Yes,no,"This citation was used in Defendant's brief, which Plaintiff now distinguishes. The Court did observe that a claim not raised in the complaint, but rather for the first time in response to a motion for summary judgment, is not properly before the Fifth Circuit Court, which broadly supports the distinctions plaintiff draws for the claims asserted in his complaint. However, this was not the sole issue that the Fifth Circuit decided in Cutrera, so it is somewhat misleading to state that Cutrera ""stands for"" the proposition that new causes of action cannot be raised for the first time at the summary judgment stage.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-50,withers_exhibit,green,Yes,no,"None. This citation was used in Defendant's brief, which Plaintiff now distinguishes. The correct pin cite for the distinction Plaintiff draws is Mississippi State Port Authority v. Yilport Holding A.S., 416 So. 3d 83, 89-90 (Miss. 2025) (rather than 88-89 as currently cited in the original brief).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-51,withers_exhibit,green,Yes,no,"None. This case evaluates when a breach of contract cause of action accrues in the context of an insurance contract. The court expressly observes its ruling is consistent with prior decisions where it held ""in the case of a breach of contract, the cause of action accrues at the time of the breach . . . ."" (citing Johnson v. Crisler, 156 Miss. 266, 269, 125 So. 724-725 (1930)).",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-52,withers_exhibit,green,Yes,no,None.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-53,withers_exhibit,green,Yes,no,"None. This citation was used in Defendant's brief, which Plaintiff now distinguishes. Specifically, Plaintiff notes that this case involved an administrative body to which Miss. Code Ann. Section 11-51-75 applies.",exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
withers-54,withers_exhibit,red,No,yes,This seems to be the same hallucinated case at issue in Doc. 105.,exhibit1_doc112-1.pdf via withers_aberdeen_corpus.csv
